image_id,file_name,num_gt,ir_tp,ir_fp,ir_fn,fusion_tp,fusion_fp,fusion_fn,delta_tp,delta_fp,delta_fn,fusion_better_recall
190001,190001.jpg,2,2,0,0,2,1,0,0,1,0,same
190002,190002.jpg,1,1,0,0,1,0,0,0,0,0,same
190003,190003.jpg,5,5,0,0,5,1,0,0,1,0,same
190004,190004.jpg,1,1,0,0,1,0,0,0,0,0,same
190005,190005.jpg,1,1,0,0,1,0,0,0,0,0,same
190006,190006.jpg,6,5,0,1,5,1,1,0,1,0,same
190007,190007.jpg,5,5,0,0,5,1,0,0,1,0,same
190008,190008.jpg,3,2,0,1,2,1,1,0,1,0,same
190009,190009.jpg,11,11,0,0,11,3,0,0,3,0,same
190010,190010.jpg,1,1,0,0,1,1,0,0,1,0,same
190011,190011.jpg,2,2,0,0,2,0,0,0,0,0,same
190012,190012.jpg,3,3,0,0,3,0,0,0,0,0,same
190013,190013.jpg,2,2,0,0,2,1,0,0,1,0,same
190014,190014.jpg,4,3,0,1,3,2,1,0,2,0,same
190015,190015.jpg,5,3,0,2,3,0,2,0,0,0,same
190016,190016.jpg,5,5,0,0,5,0,0,0,0,0,same
190017,190017.jpg,4,4,0,0,4,3,0,0,3,0,same
190018,190018.jpg,3,3,0,0,3,0,0,0,0,0,same
190019,190019.jpg,1,1,0,0,1,2,0,0,2,0,same
190020,190020.jpg,3,3,0,0,3,2,0,0,2,0,same
190021,190021.jpg,3,3,0,0,3,1,0,0,1,0,same
190022,190022.jpg,5,5,0,0,5,1,0,0,1,0,same
190023,190023.jpg,1,1,0,0,1,0,0,0,0,0,same
190024,190024.jpg,3,3,0,0,3,0,0,0,0,0,same
190025,190025.jpg,1,1,0,0,1,2,0,0,2,0,same
190026,190026.jpg,2,1,0,1,1,0,1,0,0,0,same
190027,190027.jpg,3,3,0,0,3,0,0,0,0,0,same
190028,190028.jpg,2,2,0,0,2,0,0,0,0,0,same
190029,190029.jpg,4,2,1,2,2,0,2,0,-1,0,same
190030,190030.jpg,1,1,0,0,1,1,0,0,1,0,same
190031,190031.jpg,3,2,0,1,2,0,1,0,0,0,same
190032,190032.jpg,4,4,0,0,4,1,0,0,1,0,same
190033,190033.jpg,4,4,0,0,4,1,0,0,1,0,same
190034,190034.jpg,2,2,0,0,2,1,0,0,1,0,same
190035,190035.jpg,6,6,1,0,6,2,0,0,1,0,same
190036,190036.jpg,2,2,1,0,2,2,0,0,1,0,same
190037,190037.jpg,1,1,0,0,1,1,0,0,1,0,same
190038,190038.jpg,2,2,0,0,2,2,0,0,2,0,same
190039,190039.jpg,3,3,0,0,3,1,0,0,1,0,same
190040,190040.jpg,7,6,0,1,6,0,1,0,0,0,same
190041,190041.jpg,4,4,0,0,4,2,0,0,2,0,same
190042,190042.jpg,2,2,0,0,2,0,0,0,0,0,same
190043,190043.jpg,1,1,0,0,1,0,0,0,0,0,same
190044,190044.jpg,2,1,0,1,1,0,1,0,0,0,same
190045,190045.jpg,2,2,0,0,2,2,0,0,2,0,same
190046,190046.jpg,4,4,0,0,4,0,0,0,0,0,same
190047,190047.jpg,4,4,0,0,4,0,0,0,0,0,same
190048,190048.jpg,4,4,0,0,4,1,0,0,1,0,same
190049,190049.jpg,1,1,0,0,1,0,0,0,0,0,same
190050,190050.jpg,2,2,0,0,2,0,0,0,0,0,same
190051,190051.jpg,1,1,0,0,1,0,0,0,0,0,same
190052,190052.jpg,2,2,0,0,2,0,0,0,0,0,same
190053,190053.jpg,5,5,0,0,5,2,0,0,2,0,same
190054,190054.jpg,4,3,0,1,3,0,1,0,0,0,same
190055,190055.jpg,2,2,0,0,2,0,0,0,0,0,same
190056,190056.jpg,1,1,0,0,1,0,0,0,0,0,same
190057,190057.jpg,2,2,0,0,2,0,0,0,0,0,same
190058,190058.jpg,5,5,0,0,5,0,0,0,0,0,same
