pattern,image_id,file_name,score,note,ir_tp,ir_fp,ir_fn,fusion_tp,fusion_fp,fusion_fn,num_gt
better_localization,220323,220323.jpg,8.164654129827891,Fusion improved IoU on 2 GT(s).,3,1,0,3,1,0,3
better_localization,210123,210123.jpg,8.058605573592693,Fusion improved IoU on 2 GT(s).,4,1,1,5,0,0,5
better_localization,190500,190500.jpg,6.13536444674658,Fusion improved IoU on 1 GT(s).,6,1,0,6,2,0,6
better_localization,210213,210213.jpg,5.892314589475338,Fusion improved IoU on 1 GT(s).,4,0,0,4,1,0,4
better_localization,210198,210198.jpg,5.754639357963918,Fusion improved IoU on 1 GT(s).,4,1,0,4,2,0,4
better_localization,210307,210307.jpg,5.4217158063418225,Fusion improved IoU on 1 GT(s).,2,0,0,2,1,0,2
better_localization,230369,230369.jpg,5.396316402128653,Fusion improved IoU on 1 GT(s).,2,0,1,2,1,1,3
better_localization,210135,210135.jpg,5.3773395423043775,Fusion improved IoU on 1 GT(s).,6,0,0,6,1,0,6
better_localization,230046,230046.jpg,5.365976014616184,Fusion improved IoU on 1 GT(s).,3,1,0,3,1,0,3
better_localization,230407,230407.jpg,5.32549840915447,Fusion improved IoU on 1 GT(s).,3,0,0,3,1,0,3
better_localization,230190,230190.jpg,5.13914140273994,Fusion improved IoU on 1 GT(s).,2,1,0,2,3,0,2
better_localization,220186,220186.jpg,5.071386141428589,Fusion improved IoU on 1 GT(s).,3,0,1,4,1,0,4
better_localization,190069,190069.jpg,5.06713792081996,Fusion improved IoU on 1 GT(s).,9,4,0,9,3,0,9
better_localization,230326,230326.jpg,5.016019320320303,Fusion improved IoU on 1 GT(s).,4,0,0,4,1,0,4
better_localization,230298,230298.jpg,4.953209656891632,Fusion improved IoU on 1 GT(s).,2,1,0,2,0,0,2
better_localization,210028,210028.jpg,4.936311319655997,Fusion improved IoU on 1 GT(s).,1,0,0,1,2,0,1
better_localization,190513,190513.jpg,4.830265919922479,Fusion improved IoU on 1 GT(s).,4,1,0,4,1,0,4
better_localization,230422,230422.jpg,4.801549368899053,Fusion improved IoU on 1 GT(s).,3,1,0,3,2,0,3
better_localization,260357,260357.jpg,4.774603021962099,Fusion improved IoU on 1 GT(s).,3,0,0,3,1,0,3
better_localization,240145,240145.jpg,4.51467140530103,Fusion improved IoU on 1 GT(s).,2,0,0,2,0,0,2
better_localization,200160,200160.jpg,4.514422035850625,Fusion improved IoU on 1 GT(s).,3,1,1,4,2,0,4
better_localization,200271,200271.jpg,4.5062863939945785,Fusion improved IoU on 1 GT(s).,3,1,0,3,1,0,3
better_localization,210157,210157.jpg,4.47425767073588,Fusion improved IoU on 1 GT(s).,2,0,1,2,0,1,3
better_localization,230399,230399.jpg,4.474236906326096,Fusion improved IoU on 1 GT(s).,4,2,0,4,1,0,4
better_localization,190071,190071.jpg,4.428337916959277,Fusion improved IoU on 1 GT(s).,10,2,0,10,0,0,10
better_localization,200146,200146.jpg,4.400525748764646,Fusion improved IoU on 1 GT(s).,2,0,0,2,1,0,2
better_localization,230109,230109.jpg,4.391159339717168,Fusion improved IoU on 1 GT(s).,4,0,0,4,0,0,4
better_localization,230187,230187.jpg,4.38685957646035,Fusion improved IoU on 1 GT(s).,1,1,0,1,1,0,1
better_localization,190396,190396.jpg,4.34953645717705,Fusion improved IoU on 1 GT(s).,3,1,0,3,1,0,3
better_localization,200281,200281.jpg,4.3464785501364265,Fusion improved IoU on 1 GT(s).,3,0,0,3,2,0,3
better_localization,220017,220017.jpg,4.339817332627612,Fusion improved IoU on 1 GT(s).,2,0,0,2,0,0,2
better_localization,230015,230015.jpg,4.327591599297029,Fusion improved IoU on 1 GT(s).,3,0,0,3,0,0,3
better_localization,230175,230175.jpg,4.325311969040399,Fusion improved IoU on 1 GT(s).,1,0,0,1,0,0,1
better_localization,190101,190101.jpg,4.304192495528801,Fusion improved IoU on 1 GT(s).,3,0,0,3,1,0,3
better_localization,220202,220202.jpg,4.299209532911135,Fusion improved IoU on 1 GT(s).,3,0,0,3,0,0,3
better_localization,260455,260455.jpg,4.296985121237957,Fusion improved IoU on 1 GT(s).,2,1,0,2,1,0,2
better_localization,190382,190382.jpg,4.2956991314082265,Fusion improved IoU on 1 GT(s).,3,0,0,3,0,0,3
better_localization,190729,190729.jpg,4.290600599204392,Fusion improved IoU on 1 GT(s).,5,0,0,5,1,0,5
better_localization,190006,190006.jpg,4.283722207797649,Fusion improved IoU on 1 GT(s).,5,0,1,5,0,1,6
better_localization,260177,260177.jpg,4.279668897218604,Fusion improved IoU on 1 GT(s).,3,1,0,3,2,0,3
better_localization,230358,230358.jpg,4.2760679550534695,Fusion improved IoU on 1 GT(s).,3,0,0,3,0,0,3
better_localization,200059,200059.jpg,4.275868148860685,Fusion improved IoU on 1 GT(s).,3,0,0,3,1,0,3
better_localization,220073,220073.jpg,4.248209493999072,Fusion improved IoU on 1 GT(s).,2,0,0,2,0,0,2
better_localization,190399,190399.jpg,4.244474445052429,Fusion improved IoU on 1 GT(s).,4,0,0,3,0,1,4
better_localization,220379,220379.jpg,4.241765081806986,Fusion improved IoU on 1 GT(s).,3,0,0,3,0,0,3
better_localization,230044,230044.jpg,4.23235587649034,Fusion improved IoU on 1 GT(s).,3,0,0,3,0,0,3
better_localization,210255,210255.jpg,4.217068055300819,Fusion improved IoU on 1 GT(s).,2,1,0,2,2,0,2
better_localization,220248,220248.jpg,4.216981121771327,Fusion improved IoU on 1 GT(s).,5,0,0,5,0,0,5
better_localization,210341,210341.jpg,4.2156541206056035,Fusion improved IoU on 1 GT(s).,2,1,1,2,0,1,3
better_localization,200056,200056.jpg,4.214349362657544,Fusion improved IoU on 1 GT(s).,3,0,0,3,3,0,3
better_localization,240405,240405.jpg,4.204750570855696,Fusion improved IoU on 1 GT(s).,1,1,0,1,0,0,1
